store_name,local_user,zenkoku_user,rate
Bell,0,2,0
ビストロＨＡＫＵ,8,14,0.5714285714285714
長寿庵 亀田港店,11,17,0.6470588235294118
ぱん屋 wakka,4,11,0.36363636363636365
湯元 漁火館,2,13,0.15384615384615385
焼肉くう牛楽,5,6,0.8333333333333334
とん兵衛,2,11,0.18181818181818182
吉田商店,26,160,0.1625
ふじい,6,6,1.0
ブルートレイン,10,26,0.38461538461538464
いか太郎 2号店,0,21,0
ミルキッシモ 函館本店,4,99,0.04040404040404041
函館ビヤホール,5,161,0.031055900621118012
売店 ポルックス,1,25,0.04
函館麺や 一文字 亀田本町店,9,52,0.17307692307692307
シャトレーゼ 函館昭和店,4,7,0.5714285714285714
プラネット,3,3,1.0
キットゥン,5,9,0.5555555555555556
千秋庵総本家 本通店,1,7,0.14285714285714285
レフボン かじ店,1,3,0.3333333333333333
おにぎりの佐くら,3,3,1.0
蛸焼こがね,7,42,0.16666666666666666
イタリアントマト カフェ 函館テーオー店,3,4,0.75
とんかつもりや,15,13,1.1538461538461537
北海道四季彩館 JR函館店,1,13,0.07692307692307693
あじさい 本店,29,918,0.03159041394335512
プティ・メルヴィーユ 函館駅前店,2,36,0.05555555555555555
乃が美 函館店,1,4,0.25
嘉福堂キッチン,1,16,0.0625
弁慶力餅　三晃堂,2,18,0.1111111111111111
ホテルパコ函館,2,16,0.125
はるの餅,3,11,0.2727272727272727
ドトールコーヒーショップ 市立函館病院店,3,2,1.5
鳳蘭,19,177,0.10734463276836158
たつみ,6,35,0.17142857142857143
焼肉番長,3,8,0.375
朝市お食事処 山三 道下商店,1,62,0.016129032258064516
朝市食堂 函館ぶっかけ,0,45,0
レストラン ポルックス,4,123,0.032520325203252036
ハセガワストア 千代台店,2,29,0.06896551724137931
酒房 季肴酒,2,7,0.2857142857142857
トラットリア クアトロ,5,4,1.25
パティスリー ドゥ・エ・タンドゥル 函館花園店,13,20,0.65
なんくるなゆさ,5,0,0
お持ち帰り寿司和,4,4,1.0
ハコダテ ヌードルズ 炎陣,6,14,0.42857142857142855
郷土風味 魚来亭,3,29,0.10344827586206896
函館カネニ 駅二店,0,4,0
はこだてマルカン漁業部 海がき 本店,1,21,0.047619047619047616
函館いか煎屋,3,19,0.15789473684210525
湯の浜ホテル,1,21,0.047619047619047616
沙蘭,3,77,0.03896103896103896
函館朝市 駅二市場 活いか釣り広場,1,184,0.005434782608695652
いか太郎 総本店,0,17,0
鶴屋,1,5,0.2
そば処三ぎく,3,5,0.6
千秋庵菓寮 ハコビバ店,1,11,0.09090909090909091
丸南 本店,0,0,0
しゃりパティシエ,0,5,0
寺子屋本舗 函館店,1,20,0.05
Lounge & Bar北風,0,0,0
どんぶり 一膳屋,5,14,0.35714285714285715
二代目 佐平次,11,68,0.16176470588235295
函館 いか煎屋 函館駅店,0,15,0
ホテルショコラ函館,0,4,0
奥芝商店 函館本店,22,96,0.22916666666666666
cafe T's+,15,10,1.5
立待岬休憩所 売店はまなす,1,10,0.1
晴れたり曇ったり,3,3,1.0
トラットリア ピアッティ,18,15,1.2
ビスターレビスターレ 函館,11,10,1.1
ラコンチャ,4,66,0.06060606060606061
MAIN DINNING FOUR POINT,2,6,0.3333333333333333
丸南 豊川町支店,4,5,0.8
世界で2番めにおいしい焼き立てメロンパンアイス 函館元町店,5,17,0.29411764705882354
山吹,4,21,0.19047619047619047
宮原かまぼこ,1,11,0.09090909090909091
炮彈飛車,3,6,0.5
どんぶり家 鮪斗,1,7,0.14285714285714285
モンゴリアン バーベキュー ラムジン,6,15,0.4
チャイナテイブル北斗星,2,5,0.4
手打ち蕎麦 うさぎ庵,7,10,0.7
嘉兵衛,0,11,0
そば処更科丸屋 美原店,6,12,0.5
ラーメン専科笑てん,7,43,0.16279069767441862
とん悦,15,46,0.32608695652173914
デューエ ジェラータ,3,7,0.42857142857142855
函館麺屋 ゆうみん,13,146,0.08904109589041095
patisserie　Short Berry,5,8,0.625
ローリエ末広屋,2,5,0.4
市中屋,1,12,0.08333333333333333
きたまえ船,0,0,0
五島軒 プロミエル・カモイ十字街店,4,37,0.10810810810810811
甘味処 抹茶茶房 ハコビバ店,1,9,0.1111111111111111
お台所 と金,5,12,0.4166666666666667
cafe 海と硝子,1,14,0.07142857142857142
炭火居酒屋 炎 函館五稜郭店,5,5,1.0
福乃舎,3,3,1.0
函館牛乳 あいす118,0,0,0
千秋庵総本家 宝来町本店,5,60,0.08333333333333333
グリル 塩豚,24,39,0.6153846153846154
麺屋石ばし,10,31,0.3225806451612903
一富士,8,10,0.8
栄餅本店,2,33,0.06060606060606061
とんかつ処まつ,4,4,1.0
はこだて市民の森 売店,7,47,0.14893617021276595
たちか屋,3,13,0.23076923076923078
ラッキーピエロ 本通店,9,42,0.21428571428571427
函館焼肉ホルモン市場 愛,4,8,0.5
居酒屋食堂さわ７,4,17,0.23529411764705882
まんまるてい,17,69,0.2463768115942029
ホテルベーカー モンモランシー,2,6,0.3333333333333333
小田島水産食品,0,8,0
フラワー ピクニック カフェ ハコダテ,0,0,0
高田屋,1,4,0.25
くいもの屋わん 函館五稜郭,2,7,0.2857142857142857
夜市,0,0,0
鮨処 はこだて,2,42,0.047619047619047616
ラーメン 櫻島 函館五稜郭店,4,9,0.4444444444444444
ラミネール,8,14,0.5714285714285714
史実,2,19,0.10526315789473684
谷ふじ別亭,2,27,0.07407407407407407
ベリーベリービースト,12,24,0.5
そば処 松くら,9,18,0.5
坂井鮮魚店,2,8,0.25
築地銀だこ スーパーアークス港町店,5,2,2.5
堂守豆富店,2,10,0.2
キューカンバーツリー,3,4,0.75
鮨金 分店,0,12,0
ラ クチーナ ヴェンティトレ,19,55,0.34545454545454546
コーヒーケーキショップ美鈴 イトーヨーカドー店,2,3,0.6666666666666666
炭焼きイタリアン酒場 炭リッチ 函館本町店,4,6,0.6666666666666666
やまいち,4,6,0.6666666666666666
ル・モン・ガギュー,3,20,0.15
ラ･ディーク,4,9,0.4444444444444444
フタバヤ ＭＥＧＡドン･キホーテ函館店,0,0,0
龍栄堂 MEGAドン・キホーテ函館店,0,0,0
マルハ商店,4,17,0.23529411764705882
マクドナルド 函館イトーヨーカドー店,4,4,1.0
ロワゾー・パー・マツナガ,7,31,0.22580645161290322
輝なり,6,7,0.8571428571428571
海鮮居酒屋 海男,6,12,0.5
パン&ケーキ エトワール,1,5,0.2
函館麺や 一文字 花園店,3,5,0.6
函館豚カルビホルモン研究所,3,9,0.3333333333333333
みなとや,4,11,0.36363636363636365
旅館　一乃松,4,29,0.13793103448275862
ハセガワストア ベイエリア店,15,393,0.03816793893129771
白藤珈琲,6,2,3.0
すきやきセンター,4,5,0.8
千秋庵総本家 丸井今井店,1,5,0.2
ファイヤーバーグ 函館本通店,5,4,1.25
桜,3,27,0.1111111111111111
ドリップドロップ,3,5,0.6
あずまし亭,1,18,0.05555555555555555
サーティワンアイスクリーム 函館イトーヨーカドー店,7,3,2.3333333333333335
そば処かねき,3,4,0.75
シェリーズバー,1,28,0.03571428571428571
焼とりごんちゃん,2,13,0.15384615384615385
はこだて 恋いちご洋菓子店,2,23,0.08695652173913043
居酒屋 兆治,1,5,0.2
麺屋 彩辛,3,17,0.17647058823529413
きくよ食堂 ベイエリア店,4,171,0.023391812865497075
ドッポ 石川店,2,3,0.6666666666666666
ビストロCOPAIN,7,3,2.3333333333333335
トラピスチヌ修道院 売店,4,78,0.05128205128205128
松羊亭,6,17,0.35294117647058826
バミューズン,2,6,0.3333333333333333
函館とんき 五稜郭支店,11,24,0.4583333333333333
宮里商店,2,6,0.3333333333333333
鳥辰,9,34,0.2647058823529412
だるま寿司,0,10,0
楓庵,6,9,0.6666666666666666
ガスト 函館鍛治店,13,6,2.1666666666666665
Balthus,13,13,1.0
おでんの冨茂登,2,13,0.15384615384615385
花かんろ,1,21,0.047619047619047616
ひし伊,12,56,0.21428571428571427
テーラード コーヒー 本町店,3,12,0.25
カリフォルニア・ベイビー,24,188,0.1276595744680851
カノンメイ,5,4,1.25
はこだて塩らーめん　しなの,6,259,0.023166023166023165
手打そば いしくら,29,53,0.5471698113207547
札幌ドミニカ 五稜郭店,3,3,1.0
手打ち蕎麦 蔵山,2,3,0.6666666666666666
洋食 キッチン デューク,11,17,0.6470588235294118
大福の大阪屋,3,5,0.6
和さび,4,2,2.0
バーガーショップホットボックス,14,54,0.25925925925925924
りんさん,9,64,0.140625
旬味 千,2,5,0.4
串山串蔵,2,24,0.08333333333333333
竹田食品,0,16,0
はこだて海鮮市場  本店,1,33,0.030303030303030304
餃子の王将 イオン湯川店,8,8,1.0
一心亭 函館広野店,8,13,0.6153846153846154
チッチョ  パスティッチョ,7,38,0.18421052631578946
串カツ酒場 青春の光,1,5,0.2
イン バケット,1,5,0.2
チャイニーズキッチン龍鶴,5,5,1.0
ベビー フェイス プラネッツ 函館店,16,11,1.4545454545454546
ホテルWBF 函館 海神の湯,3,19,0.15789473684210525
鯉之助,2,11,0.18181818181818182
昭和食堂,12,17,0.7058823529411765
ラ・ジェント・スティ 函館駅前,1,17,0.058823529411764705
函館 カネニ 朝市店,0,14,0
桃園,8,7,1.1428571428571428
ジンギスカン函館吉田 函館駅前,3,16,0.1875
魚いち亭,3,11,0.2727272727272727
すずや食堂,3,86,0.03488372093023256
お出汁・酒肴・佳さく,4,9,0.4444444444444444
スープカレー ネパールカレー ポカラダイニング 函館店,3,2,1.5
DOPPO,6,7,0.8571428571428571
ラーメン ルーム ワンエイト,7,50,0.14
レストラン雪河亭 本店,17,361,0.04709141274238227
かつ亭,9,19,0.47368421052631576
かに卸問屋 信幸 どんぶり屋,0,0,0
はこだて浪漫館,0,14,0
杉養蜂園 函館金森倉庫店,3,6,0.5
味処 酒処 一乃家,0,0,0
松よし 中島店,9,8,1.125
そばと酒　柏木町三貞,12,24,0.5
くいだおれ太閤本店,2,12,0.16666666666666666
すし蔵,5,50,0.1
蕎麦の館がびの,6,18,0.3333333333333333
Cafe にしむら,7,9,0.7777777777777778
そば処みのや 湯川店,4,6,0.6666666666666666
函館地方裁判所地下食堂,0,0,0
ハセガワストア 五稜郭店,5,90,0.05555555555555555
ぜにや,2,4,0.5
香港中国料理,8,6,1.3333333333333333
下池英子水産,0,5,0
函館ひろめ荘,2,18,0.1111111111111111
三代目網元 魚鮮水産 函館五稜郭本町店,4,18,0.2222222222222222
串バル otori,4,3,1.3333333333333333
プア ノー レジャー,8,1,8.0
にしん亭,1,12,0.08333333333333333
丸亀製麺 函館店,10,11,0.9090909090909091
ノルテ,5,17,0.29411764705882354
花園温泉,1,5,0.2
もち吉 函館店,3,4,0.75
兼八 直販店,0,8,0
ニューサロン海峡,1,4,0.25
ラーメン山岡家 函館鍛冶店,7,14,0.5
鮨処 ひろ季,3,17,0.17647058823529413
大文字,0,0,0
函館ザンギ,2,7,0.2857142857142857
華,0,0,0
函館洋菓子スナッフルス 金森洋物館店,10,198,0.050505050505050504
末廣軒・パティスリー ジョリ クレール,0,7,0
湯の川観光ホテル祥苑,2,21,0.09523809523809523
ル・レーブ,1,7,0.14285714285714285
海峡日和,6,32,0.1875
松岡商店 ツインタワー店,1,5,0.2
すーぷかりーかふぇ　チャーリースパイス,16,45,0.35555555555555557
トップスポップコーン 本店,8,8,1.0
海光房,9,247,0.03643724696356275
セイコーマート 函館松風店,0,12,0
お食事居酒屋 紅龍,3,3,1.0
ちいさなしあわせパン☆,1,13,0.07692307692307693
かしらや 海岸町店,5,6,0.8333333333333334
やきとり大吉 函館店,6,6,1.0
RAMAI 函館桔梗店,14,20,0.7
クープ･オ･クール,2,16,0.125
味楽市場 炭小屋,6,36,0.16666666666666666
Pearl Lion 函館店,0,0,0
魔法のパン,7,31,0.22580645161290322
ハルナテイ,5,2,2.5
祐鮨,4,23,0.17391304347826086
とき田,2,4,0.5
クラブハウス,4,27,0.14814814814814814
ポポラマーマ 函館美原店,0,0,0
北菓り,3,6,0.5
ポケットピザ 函館本店,3,5,0.6
ジンギスカン羊羊亭,8,176,0.045454545454545456
麺TEPPEN,6,8,0.75
107.0,6.0,31.0,0.1935483870967742
丸京,8,20,0.4
中華料理 壹龍火,7,3,2.3333333333333335
カフェチーズ,6,5,1.2
麺屋 いっ徳,14,17,0.8235294117647058
松竹園,2,3,0.6666666666666666
へいちきん,3,4,0.75
ロケットカレー 函館本町店,2,3,0.6666666666666666
うに むらかみ 函館本店,18,767,0.02346805736636245
まゆみ寿し,0,0,0
トロイカ 港店,3,7,0.42857142857142855
板前料理 旬,4,8,0.5
ヴィクトリアステーション 函館若松店,6,4,1.5
tombolo,4,39,0.10256410256410256
たこ焼き&たい焼き たこ丸,0,0,0
すしの鮮昇 函館朝市店,1,45,0.022222222222222223
あぶや,0,16,0
吉野家 函館神山店,6,5,1.2
評判いいよ〜,6,13,0.46153846153846156
ラ・ブヴェット,2,11,0.18181818181818182
カフェ　咲くら,6,2,3.0
スープカレー ベギラマ,8,19,0.42105263157894735
中和廊,10,15,0.6666666666666666
パティスリーばら苑,6,8,0.75
山徳食品,1,8,0.125
ラーメン 津つ井軒,2,18,0.1111111111111111
ユーヨーテラス ハコダテ,1,5,0.2
キングベークナチュラル 函館駅前ビル店,1,9,0.1111111111111111
はこだてビール,5,181,0.027624309392265192
ジェファン,2,4,0.5
函館おたふく堂,7,42,0.16666666666666666
ちゃんぽん長崎家,11,24,0.4583333333333333
しん善,2,7,0.2857142857142857
○串酒場,2,12,0.16666666666666666
gyogyo,6,8,0.75
ラッキーピエロ 人見店,13,71,0.18309859154929578
鮨 たかん,1,7,0.14285714285714285
陣屋 昭和店,6,15,0.4
ピッツェリア アモリーノ,17,32,0.53125
モストゥリー,17,23,0.7391304347826086
カシメ水産 朝市営業所,0,6,0
新京,3,4,0.75
平成館 海羊亭,0,18,0
花丸,2,9,0.2222222222222222
函館ふうげつどう,2,9,0.2222222222222222
道の駅 なとわ･えさん,4,28,0.14285714285714285
ラーメンたつみ 大門横丁店,1,41,0.024390243902439025
ラーメン響 乃木店,4,13,0.3076923076923077
コーヒーマルシェ,7,37,0.1891891891891892
函館洋菓子スナッフルス 函館エキナカ店,2,44,0.045454545454545456
金家,3,11,0.2727272727272727
カフェ 駒ヶ岳牛乳,1,7,0.14285714285714285
レストラン・バスク,8,88,0.09090909090909091
ひでちゃん鮨,1,9,0.1111111111111111
高砂屋 空港売店,1,4,0.25
らーめん しおいち,0,8,0
亜細亜飯 松風グルカ,7,7,1.0
龍門,4,8,0.5
ロッテリア MEGAドン･キホーテ函館店,4,3,1.3333333333333333
ダイニング こまつ,0,0,0
海花里,0,6,0
ラッキーピエロ マリーナ末広店,4,371,0.01078167115902965
さかえ寿司 中道支店,2,4,0.5
マックスバリュ 石川店,3,3,1.0
あかちょうちん 湯川店,6,19,0.3157894736842105
odeon,7,3,2.3333333333333335
タリーズコーヒー 函館五稜郭病院店,7,2,3.5
千成堂,0,5,0
ル アーヴル,0,0,0
串カツ田中 函館五稜郭店,6,15,0.4
花鳥風月,3,8,0.375
和のふ,5,16,0.3125
尾木カリー,5,26,0.19230769230769232
成吉思汗物語 らむ若,3,9,0.3333333333333333
タイガーカレー 函館店,2,11,0.18181818181818182
やきだんご 銀月,18,142,0.1267605633802817
金八鮨,0,0,0
山内農場 函館五稜郭店,5,4,1.25
クレイトンズカフェ,0,0,0
裏横丁,0,9,0
サンヴァリエ 函館店,2,9,0.2222222222222222
コメダ珈琲店  函館ベイエリア店,0,0,0
ぱんだ,10,47,0.2127659574468085
そば切り工房しら川,3,12,0.25
ザ ランプス,2,6,0.3333333333333333
五稜郭 御膳水,3,5,0.6
さとほろ,0,5,0
はこだて海鮮倶楽部,0,7,0
さかえ寿し 亀田店,1,3,0.3333333333333333
函館朝市マルヤマ商店,2,21,0.09523809523809523
のらいぬCafe,2,6,0.3333333333333333
びっくりドンキー 海岸通り店,16,31,0.5161290322580645
Lela,2,4,0.5
わたなべ,2,15,0.13333333333333333
まるしん,1,3,0.3333333333333333
グラシエ セ・シュウェット！,7,17,0.4117647058823529
そば処 大阪屋 桔梗店,7,18,0.3888888888888889
ラーメンの王道 北浜商店 金堀店,11,41,0.2682926829268293
沙羅の月,1,15,0.06666666666666667
きんぎょ茶屋,10,16,0.625
李太白,15,12,1.25
びっくりドンキー 神山店,16,11,1.4545454545454546
ステーキ・ハンバーグ ひげ 函館五稜郭店,12,30,0.4
誘い誘われ,1,10,0.1
函館自由市場,2,47,0.0425531914893617
ラ ステラ,4,3,1.3333333333333333
かもめ,3,85,0.03529411764705882
河畔亭,1,10,0.1
割烹あべ,2,8,0.25
紀もと,4,7,0.5714285714285714
天ぷら 天八,3,20,0.15
ツインフェザー 本町店,2,6,0.3333333333333333
おんじき庭本 函館駅前店,1,9,0.1111111111111111
根崎やたら家,10,9,1.1111111111111112
松ふみ,6,5,1.2
田ざわ,7,100,0.07
酒肴菜友 じょっぱり,7,11,0.6363636363636364
ジンギスカン 大門ひつじ亭,0,0,0
紅茶専門店ハーヴェスト 函館駅前店,2,12,0.16666666666666666
ごま福堂 函館店,0,7,0
函館ふるさと 男爵コロッケ工房,1,18,0.05555555555555555
ホテルWBF グランデ函館,0,17,0
らーめん高橋屋,13,60,0.21666666666666667
花かるた,0,0,0
菊川,3,4,0.75
カフェ 美鈴 函館空港店,3,64,0.046875
ハセガワストア 高砂通り店,5,20,0.25
花吹雪,1,2,0.5
麺厨房あじさい 紅店,15,352,0.04261363636363636
みなと食堂,10,43,0.23255813953488372
サザン食堂,8,18,0.4444444444444444
ミートハウス 本町店,3,15,0.2
冨士冷菓,3,22,0.13636363636363635
満腹食堂,7,22,0.3181818181818182
たこ焼き 菜々,2,5,0.4
佐々木豆腐店,1,10,0.1
茶楽居,4,3,1.3333333333333333
キングストア 堀川店,0,0,0
アーイ・カレー・虹夢吟鮮工房,9,7,1.2857142857142858
ハセガワストア 桔梗店,1,9,0.1111111111111111
気っ風握りよいしょ,10,16,0.625
五稜郭タワー展望１階カフェスタンド,2,43,0.046511627906976744
ラ・ターチ,9,10,0.9
かとらん,2,2,1.0
一口茶屋 コープさっぽろ湯川店,4,2,2.0
手打ちそば 長月,10,31,0.3225806451612903
キャプテン,13,25,0.52
ビビンバ小屋,7,10,0.7
サテンドール喫茶店,2,5,0.4
Grazie・Grazie,3,1,3.0
函まるずし 昭和店,2,7,0.2857142857142857
さかえ寿し 高砂通支店,4,18,0.2222222222222222
市場亭,0,60,0
バーハナビ,2,10,0.2
そば処かさ屋,6,8,0.75
ごはん処 かつ庵 函館若松店,5,7,0.7142857142857143
マルイシ食堂,0,7,0
お好み焼き こて屋,3,4,0.75
かね久山田,16,63,0.25396825396825395
マクドナルド 函館松風店,6,23,0.2608695652173913
グルマンカンタ,16,29,0.5517241379310345
エスポワール 戸倉店,12,18,0.6666666666666666
惣菜・揚げ物お持ち帰りと食堂マルテン,4,3,1.3333333333333333
やきとり鳥 本町店,2,6,0.3333333333333333
とり辰,6,15,0.4
回転寿司根室花まる キラリス函館店,7,131,0.05343511450381679
焼肉番長 花園店,4,4,1.0
北の番屋,1,38,0.02631578947368421
おそば 海月,4,12,0.3333333333333333
Hakodate Dining 備後屋,8,10,0.8
マリス,4,5,0.8
鮨処森山,1,12,0.08333333333333333
ラビットファーム,0,4,0
Pain屋,6,28,0.21428571428571427
炉ばた　大謀,4,67,0.05970149253731343
ストロベリー,0,0,0
いくら亭,6,143,0.04195804195804196
マリー・カトリーヌ 丸井今井函館店,3,8,0.375
TAKEDA屋,7,4,1.75
麺屋 真打,7,24,0.2916666666666667
魚べい 函館本通店,5,8,0.625
オリエンタルキッチン,5,3,1.6666666666666667
鮨処あうん亭 光,2,4,0.5
Cafe en,6,6,1.0
高田屋ラーメン,0,0,0
よし庵,10,40,0.25
らーめん ひらき家,4,54,0.07407407407407407
SEAちゃん,1,6,0.16666666666666666
炭焼味楽亭,1,5,0.2
カフェ&ダイニング リット,0,0,0
炭火居酒屋 炎 函館美原店,4,2,2.0
あずまそば,4,1,4.0
やきとり酒場 夕焼けハイボール,2,7,0.2857142857142857
BRAN,6,7,0.8571428571428571
マメさん,14,169,0.08284023668639054
張家口,17,18,0.9444444444444444
ジンギスカン テムジン 湯川店,3,26,0.11538461538461539
陣屋 三与右衛門,6,19,0.3157894736842105
鮨一路,0,14,0
函館洋菓子スナッフルス 高丘店,3,27,0.1111111111111111
鮨政,0,5,0
センティール・ラ・セゾン函館山,4,9,0.4444444444444444
喫茶モーリ,3,2,1.5
リベルタ,5,4,1.25
蕎麦ONJIKI,3,7,0.42857142857142855
パンハウス・シアン,2,4,0.5
ミルキッシモ 函館 五稜郭タワー店,2,195,0.010256410256410256
函館健康センター 湯都里　レストラン,2,7,0.2857142857142857
東京庵 本通り店,8,11,0.7272727272727273
函館塩ジンギスカン 名前はまだ無い。,0,0,0
スターバックス・コーヒー 函館ベイサイド店,14,85,0.16470588235294117
クロマグロ専門工房 鮪斗,3,14,0.21428571428571427
RAMAI 函館店,17,32,0.53125
函館麺や 一文字 函館本店,36,309,0.11650485436893204
小樽なると屋 ポールスター函館店,5,12,0.4166666666666667
箱舘バル,3,13,0.23076923076923078
印度カレー 小いけ 本店,18,131,0.13740458015267176
市場カフェ,1,3,0.3333333333333333
くいしんぼう函館,4,21,0.19047619047619047
エンデバー 函館店,11,14,0.7857142857142857
望楼NOGUCHI函館,3,53,0.05660377358490566
久保商店,0,4,0
麺屋翔,8,17,0.47058823529411764
すし雅,2,32,0.0625
麺屋 しくぅはっく,12,12,1.0
なか卯 函館昭和店,13,12,1.0833333333333333
煙が目にしみる,4,5,0.8
函館朝市 どんぶり横丁市場,0,13,0
gram ベイエリア函館店,7,18,0.3888888888888889
STEM,3,3,1.0
ピーベリー,10,35,0.2857142857142857
おれかるかふぇ,4,1,4.0
唐草館,13,47,0.2765957446808511
カフェ/トラットリア and,4,9,0.4444444444444444
コーヒーケーキショップ美鈴 湯川店,2,10,0.2
手打ちうどん そば 上野,5,17,0.29411764705882354
陣屋 湯川店,10,15,0.6666666666666666
幸寿司,3,46,0.06521739130434782
スターバックス・コーヒー 函館蔦屋書店,12,26,0.46153846153846156
ちいさなぱんや,5,3,1.6666666666666667
なかみち食堂,14,48,0.2916666666666667
そば処ふでむら,9,25,0.36
菓々子,3,3,1.0
ちいおり,5,6,0.8333333333333334
炭焼き居酒屋アリーズ,3,9,0.3333333333333333
天丼専門店 FLOUR,3,4,0.75
豚丼ポルコ 函館本店,2,13,0.15384615384615385
いなふね菓子舗,1,3,0.3333333333333333
鮨島うた,5,20,0.25
粉もん屋とん平 函館駅前店,6,7,0.8571428571428571
プティメルヴィーユ 末広店,5,19,0.2631578947368421
Etadokah,10,12,0.8333333333333334
神戸炭火焼肉 BUZZ 函館本店,3,3,1.0
キューブシュー工房 CUーBー,2,10,0.2
山の猿 函館昭和店,13,8,1.625
ハセガワストア 湯の川店,1,73,0.0136986301369863
コーヒーショップ・トレール,7,7,1.0
パティスリー AKIRA,1,5,0.2
アシェットキャプリス,5,4,1.25
うにむらかみ 函館駅前店,2,50,0.04
焼肉冷麺モランボン美原店,2,5,0.4
ラムズイヤー,21,18,1.1666666666666667
マルセン,14,37,0.3783783783783784
湯の川プリンスホテル渚亭,5,52,0.09615384615384616
二本柳旅館,1,6,0.16666666666666666
桜庭,0,7,0
オールド ニュー カフェ,7,14,0.5
Pizza and BIANCHI,14,19,0.7368421052631579
次郎,5,49,0.10204081632653061
ペリーズバー,8,9,0.8888888888888888
炉ばた炉辺人,4,14,0.2857142857142857
丸南 赤川支店,5,8,0.625
辺見旅館,1,4,0.25
元町ぼんぱん,4,31,0.12903225806451613
ラッキーピエロ 五稜郭公園前店,14,460,0.030434782608695653
ローカン,9,5,1.8
中国料理ぎょくらん,6,8,0.75
喫茶処 琲絵炉,3,3,1.0
もんじゃ焼 千景,9,14,0.6428571428571429
ルピナスカフェ,2,4,0.5
パン工場 マックスバリュ若松店,1,4,0.25
餅の北屋,2,8,0.25
ロマンティコ ロマンティカ,18,56,0.32142857142857145
茶房 菊泉,9,77,0.11688311688311688
グラーノエアックア,12,19,0.631578947368421
あじたか,6,34,0.17647058823529413
八方亭,5,4,1.25
ホテル サンシティー函館,1,7,0.14285714285714285
ホテル&スパ センチュリーマリーナ 函館,2,87,0.022988505747126436
ラビスタ函館ベイ,10,400,0.025
テーラードコーヒー 宮前店,1,13,0.07692307692307693
ホタル,3,10,0.3
四季 粋花亭,8,28,0.2857142857142857
海鮮処 函館山,12,358,0.0335195530726257
ラーメン山岡家 函館万代店,7,22,0.3181818181818182
たこ焼き 菜々 富岡店,0,0,0
ミスタードーナツ 函館五稜郭ショップ,6,27,0.2222222222222222
ティーラウンジ レガート,1,14,0.07142857142857142
はこ民食堂,0,33,0
ハンバーグ専門　大賀,16,36,0.4444444444444444
味彩食堂,7,17,0.4117647058823529
ヤマタイチ,3,35,0.08571428571428572
活魚料理 いか清,14,174,0.08045977011494253
カフェディシィ,8,23,0.34782608695652173
浜鮨,1,4,0.25
フェリーチェ,9,4,2.25
酒kure,3,8,0.375
グランフォレスト,1,4,0.25
ピラミッド,0,4,0
モヒート,3,37,0.08108108108108109
ミスタードーナツ 亀田本町ショップ,5,7,0.7142857142857143
函館湯の川 啄木亭,5,28,0.17857142857142858
シゲちゃんすし,11,98,0.11224489795918367
シプル,3,11,0.2727272727272727
やきとり仁平,7,3,2.3333333333333335
creativedish goen,12,13,0.9230769230769231
パティスリーシュウ,2,9,0.2222222222222222
函館洋菓子スナッフルス 駅前店,19,357,0.05322128851540616
てっぱん,7,5,1.4
